,0
755,비스베린
756,마이클롬
757,인삼사물탕
758,비오스포라
759,바파린
760,팰즈
761,천우조고약
762,유니파스
763,벤콜
764,베노타
765,삼남위장약
766,피엠무좀
767,그리친
768,기노나루
769,다나졸지
770,네오파스
771,대일샘파스
772,몰트코발라민
773,토코라민지
774,코바마이드정아세아
775,한중보기탕
776,한중기혈대보탕
777,뮤고짐
778,감마홈
779,몰트라민
780,치오페롤에이
781,리소지마에스
782,다미롱
783,소라
784,화인페론캅셀
785,화인씻스
786,삼우브롬페니라민
787,파상겔에이
788,한일양행치메로살용
789,스피나에스
790,이마루에스
791,큐반캅셀
792,사루엠
793,중앙큐킬라에어졸
794,중앙큐킬라
795,리도카인
796,신일
797,가미녹각육미지황탕
798,광동가미구용탕
799,광동가미녹각대보탕
800,물엘파스
801,틴바
802,코바민
803,아스레트
804,리바콜
805,멘타라민
806,톨악틴
807,포타볼하드캅셀
808,일반명항도피에이
809,다이킬라
810,항도관장약
811,오푼
812,스파토닌
813,피티엘캅셀
814,레크린
815,뇌선
816,액터나마이드캅셀
817,스카리돈
818,비코아민
819,카르텍캅셀
820,스카이나
821,투스타졸
822,스테멕스주
823,옥시마이신안
824,물톤에스
825,필콤
826,필콤
827,나조린
828,티나덤
829,파드린에스
830,판피린
831,유유차질산비스마스
832,원어데이
833,아나바시
834,벤옥살
835,바스콤비
836,에이비씨모노탄에프
837,에이비씨모노탄아르
838,아데노시
839,메리틴
840,메리틴
841,메리틴
842,바로딘캅셀
843,오브론캅셀
844,성광관장약
845,대한살리씰산나트륨
846,올타림
847,버막스
848,마미리진
849,비코락스
850,파나세아
851,에비오제
852,삼일부루펜
853,스미돈
854,아나코판
855,에스에스
856,베데스
857,동산화상가아제
858,동성벤질
859,스티엠
860,하이비날
861,하이렉스
862,몰바렌씨
863,메펜탈캅셀
864,엠비파스
865,감마럭스에이
866,사포날
867,아연화
868,파파제
869,비오스포라
870,한방노루모
871,비올
872,도표됴고약
873,리비우스
874,피디피에어졸
875,푸로반에스
876,마그밀수산화마그네슘
877,게루삼엠
878,광일기나제피
879,보라스민
880,콘타제
881,토루나
882,헤모회린에스
883,에스에스
884,한방삼용대보환
885,대원염산피리독
886,콤비타
887,쾌복
888,대일파스
889,한방여성모
890,대일시프
891,아데코발캅셀
892,아데코발캅셀
893,비멀티
894,토코레드
895,훼러팩스
896,바이엘아스피린
897,바이엘아스피린
898,카네스텐
899,카네스텐질
900,몰트콤푸
901,마이록스
902,오로트산에스티
903,부로타제
904,삼영한방우황포룡환
905,삼영한방사향소합원
906,감마게라논캅셀
907,비크놀에스캅셀
908,레이드안트앤로취킬라
909,삼우프로메타진캅셀
910,화인페론
911,데타손안약
912,어린이푸로비타
913,모르겐에이
914,베칸친캅셀
915,탄베린
916,크로콩
917,엠비파스
918,액티빅스
919,고노삽에프
920,광동쌍화탕
921,비너스환
922,녹각대보환
923,광동원방우황청심원
924,한방보위
925,한방보위
926,광동원방우황청심원
927,히스프릴
928,화신소독용이소프로필알콜
929,진삼관
930,비크라민
931,반베이스에스피
932,유베이스
933,산또라제에이
934,신또라제
935,라각틸캅셀
936,물파스에이
937,아네마이트캅셀
938,감비스
939,알미나피린
940,리마겐
941,제로킹
942,장우아디핀산피페라진
943,장우키푸로베네시드
944,키나
945,한방로지날
946,신삼톤
947,진비타
948,파맥스
949,에이디엔캅셀
950,데드볼
951,반후
952,치노
953,판파루
954,스트렛치
955,한풍갈근탕
956,한풍쌍화탕
957,프린제스
958,한풍소청룡탕
959,시강계
960,한풍소건중
961,유니코캅셀
962,단젠
963,아세틸살리씰
964,슬로진캅셀
965,텔믹스
966,판자임캅셀
967,레지나
968,비푸렉스
969,피팜
970,복합아루사루민
971,메벤다
972,태평양안스라린
973,스포린
974,스포린
975,삼천리메페나민캅셀
976,벤다스
977,오노페인
978,사파프린
979,코프렐
980,건일피란텔
981,베나칼민로오숀
982,녹다운
983,동남소독용알콜
984,동남치메로살
985,스모락스
986,삐헵타
987,삐헵타캅셀
988,엔비론
989,지노닥타린질좌약
990,아남기초백색
991,멜도파
992,사나휘린
993,사베르
994,파미트
995,파미트
996,노사린
997,맥펠
998,다벤다
999,에스치온
1000,비이멕스
1001,다이오친
1002,베노판
1003,크로속
1004,아스본
1005,고려한방사향소합원
1006,한방삼라제
1007,노스코틴
1008,데멕스
1009,설파푸린캅셀
1010,고려삼정톤캅셀
1011,필먹스
1012,천마표원방우황청심원
1013,포리싸로
1014,판크레온
1015,판크레온에프
1016,판크레온포르테
1017,가스타실
1018,이노펜
1019,카오펙틴
1020,아테토핍
1021,올비틸
1022,히드라치온
1023,씨롱지
1024,시노푸림
1025,푸림
1026,디메콘
1027,액티코바민에스캅셀
1028,슈넬부롬헥
1029,안테막스
1030,아코니톤
1031,푸리세친
1032,아코니톤비
1033,홍익동상고
1034,아데발라
1035,사루비아캅셀
1036,트리아제캅셀
1037,안국니트로푸라존
1038,설파펜마인안약
1039,통크린
1040,중장탕라모루
1041,바파린에이
1042,바파린콜드
1043,겔포스현탁
1044,일양노루모
1045,일양노루모지
1046,파이오닌
1047,아세틴
1048,소마펜
1049,환인비타이
1050,환인비타이MG
1051,후로마겐
1052,구리
1053,아루베린캅셀
1054,신신파스
1055,브롭
1056,데루멘
1057,그리사네이트
1058,그리사네이트
1059,우로카룬캅셀
1060,슬카인
1061,세티프린
1062,알록스
1063,마그밀
1064,소아용핑크라민
1065,경남관장약
1066,리라
1067,페날캅셀
1068,소아리진
1069,살타림
1070,메단스
1071,정해
1072,유니비타
1073,베비톤
1074,마로닌
1075,마로닌
1076,트레스탄
1077,마로닌
1078,네오파스이
1079,네오파스
1080,타에니아
1081,시나헤파
1082,벤닥틴
1083,올봄
1084,뮤코졸
1085,유크리단
1086,세진메크리진
1087,세진염화리소짐
1088,티판캅셀
1089,한중기혈대보환
1090,한중원방우황청심원
1091,한중평위
1092,에바크린
1093,모린지캅셀
1094,이소론
1095,아비타
1096,한양가미대보환
1097,헤파민캅셀
1098,화니판
1099,경희커플린
1100,로부타
1101,아루마
1102,콜스톱캅셀
1103,빌캄
1104,헥사졸
1105,구리
1106,가미대보환
1107,아스날캅셀
1108,폰스날캅셀
1109,일심대장환
1110,일심신위
1111,아네미나에스
1112,진까리민
1113,진까라민
1114,젠트론
1115,푸로비타캅셀
1116,팩토란
1117,한일양행벤지다민
1118,스피나
1119,티비타
1120,파라제
1121,필크람
1122,피노비타
1123,데이원
1124,리소날
1125,콤바린
1126,에포살
1127,모리타민
1128,펜탈
1129,홍익동상고
1130,아크리카인
1131,페나린
1132,물타민
1133,신일리조짐
1134,포리게논
1135,신일브롬헥신염산염
1136,리비탄
1137,신일히포카스탄
1138,피란통정피란텔파모에이트
1139,피란톰
1140,크란틴
1141,코바톤
1142,노루핀소프트캅셀
1143,오리자놀
1144,노나브이소프트캅셀
1145,바이톤소프트캅셀
1146,토리잘소프트캅셀
1147,판후란에스
1148,비타구로빈에스
1149,한유염화벤잘코늄
1150,한유크리니솔
1151,한유염화벤잘코늄
1152,한유킬라
1153,코노펜캅셀
1154,콜에스캅셀
1155,노스날캅셀
1156,노스날
1157,한방산피아캅셀
1158,개풍
1159,카로프린
1160,디마킬라
1161,틴바
1162,쎌라트메벤다졸
1163,카스트로민
1164,쿨에프
1165,타이탄티
1166,다민
1167,비시콜
1168,데코민
1169,텔판
1170,부로진
1171,브로니칸
1172,헥시딘
1173,삼성코린데오휘린
1174,항도킬라에어졸
1175,리비산올캅셀
1176,콜트
1177,트리옥사졸캅셀
1178,메가훼로스
1179,후라시드
1180,피레톤캅셀
1181,코후치콘
1182,현대바루나
1183,크라운무좀
1184,친치라
1185,정원파파베린
1186,지사민
1187,지사민
1188,케이엠에스거창만령단
1189,히포스탄캅셀
1190,유영데카비타민
1191,훼룸에푸
1192,장우염산파파베린
1193,마멕스
1194,백초
1195,키나캅셀
1196,스타스코프
1197,유락
1198,상아동상
1199,유락신유
1200,데멘캅셀
1201,티모린
1202,헤파일캅셀
1203,한방비후마겐
1204,유니캪엠
1205,콘콜드캅셀
1206,츄크라
1207,알겔실
1208,파이피라정에이
1209,필비타
1210,한풍쌍화탕
1211,에라딕스
1212,마데카솔분말
1213,마데카솔
1214,노이짐
1215,산루프
1216,노나비라캅셀
1217,벤토린
1218,낙센
1219,티나덤
1220,부레돈
1221,비타그란
1222,시베론
1223,에리카씨
1224,파로치몬
1225,슈바톤정군납명실리마린
1226,베노플란트
1227,리트릴
1228,타미톤
1229,스트라비토드롭
1230,삼천리브롬헥
1231,스코펜
1232,키나베돈
1233,파렉스
1234,시마린
1235,암포젤
1236,건일메칠도파
1237,건일톨나프테이트
1238,나인
1239,브록신정염산브롬헥
1240,건일시리마린
1241,건일시리마린
1242,성광크레솔수
1243,포리
